rank,layer,neuron,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
187,29,90,0.001979827880859375,0.001979827880859375,0.001979827880859375,0.0004814534913748503,1.0,1.0,4.112189292907715
188,18,4164,0.0019779205322265625,0.0019779205322265625,0.0019779205322265625,0.00013360973389353603,1.0,1.0,14.803715705871582
189,24,8362,-0.0019626617431640625,0.0019626617431640625,0.0019626617431640625,0.0008733469876460731,0.0,1.0,2.2472875118255615
190,26,2589,-0.00196075439453125,0.00196075439453125,0.00196075439453125,0.0001923303643707186,0.0,1.0,10.194721221923828
191,14,7642,0.0019512176513671875,0.0019512176513671875,0.0019512176513671875,0.0013752433005720377,1.0,1.0,1.418816328048706
192,15,1832,-0.0019474029541015625,0.0019474029541015625,0.0019474029541015625,0.0005804704851470888,0.0,1.0,3.354869842529297
193,31,11861,-0.0019474029541015625,0.0019474029541015625,0.0019474029541015625,0.0006205042009241879,0.0,1.0,3.138420343399048
194,31,7104,0.0019435882568359375,0.0019435882568359375,0.0019435882568359375,0.0007825128850527108,1.0,1.0,2.4837779998779297
195,30,1754,0.0019397735595703125,0.0019397735595703125,0.0019397735595703125,0.00041277686250396073,1.0,1.0,4.69932746887207
196,26,3004,-0.0019378662109375,0.0019378662109375,0.0019378662109375,0.00012014782259939238,0.0,1.0,16.129016876220703
197,30,2049,0.0019321441650390625,0.0019321441650390625,0.0019321441650390625,0.00039412948535755277,1.0,1.0,4.902307987213135
198,25,6384,-0.0019207000732421875,0.0019207000732421875,0.0019207000732421875,0.0009753454360179603,0.0,1.0,1.9692511558532715
199,30,10669,0.001918792724609375,0.001918792724609375,0.001918792724609375,0.0008345473324880004,1.0,1.0,2.299201726913452
200,15,6918,0.0019159317016601562,0.0019159317016601562,0.0019159317016601562,0.000970277760643512,1.0,1.0,1.9746218919754028
201,24,5048,-0.0019130706787109375,0.0019130706787109375,0.0019130706787109375,0.0007906897808425128,0.0,1.0,2.4194958209991455
202,18,4228,-0.001911163330078125,0.001911163330078125,0.001911163330078125,0.0006862533045932651,0.0,1.0,2.784924030303955
203,30,3175,0.001895904541015625,0.001895904541015625,0.001895904541015625,0.0006939080194570124,1.0,1.0,2.732213020324707
204,20,13625,0.00189208984375,0.00189208984375,0.00189208984375,0.0005978496046736836,1.0,1.0,3.164825677871704
205,22,5804,-0.0018863677978515625,0.0018863677978515625,0.0018863677978515625,0.000508640194311738,0.0,1.0,3.708648681640625
206,31,3691,0.0018863677978515625,0.0018863677978515625,0.0018863677978515625,0.0004822952614631504,1.0,1.0,3.9112303256988525
207,15,11853,0.001886129379272461,0.001886129379272461,0.001951456069946289,0.0012048939242959023,0.75,0.75,1.5653903484344482
208,29,142,-0.0018835067749023438,0.0018835067749023438,0.0018835067749023438,0.000655453244689852,0.0,1.0,2.873594284057617
209,21,8760,-0.001880645751953125,0.001880645751953125,0.001880645751953125,0.0009545208304189146,0.0,1.0,1.9702510833740234
210,14,1559,-0.0018787384033203125,0.0018787384033203125,0.0026073455810546875,0.002040248829871416,0.25,0.75,0.9208378791809082
211,30,1443,0.00186920166015625,0.00186920166015625,0.00186920166015625,0.00020199893333483487,1.0,1.0,9.253522872924805
212,23,12181,0.0018666982650756836,0.0018666982650756836,0.001907944679260254,0.001545239007100463,0.75,0.75,1.2080320119857788
213,16,6901,-0.0018663406372070312,0.0018663406372070312,0.0018663406372070312,0.0014041127869859338,0.0,1.0,1.3291956186294556
214,27,932,0.0018644332885742188,0.0018644332885742188,0.0018644332885742188,0.0008437786600552499,1.0,1.0,2.2096235752105713
215,28,4077,-0.0018634796142578125,0.0018634796142578125,0.0018634796142578125,0.0005637594731524587,0.0,1.0,3.3054516315460205
216,18,9102,-0.0018634796142578125,0.0018634796142578125,0.0018634796142578125,0.0005897964583709836,0.0,1.0,3.1595299243927
217,27,5995,0.001861572265625,0.001861572265625,0.001861572265625,0.001092109945602715,1.0,1.0,1.7045649290084839
218,27,14327,0.001861572265625,0.001861572265625,0.001861572265625,0.0006229296559467912,1.0,1.0,2.988415002822876
219,2,4786,0.0018596649169921875,0.0018596649169921875,0.00201416015625,0.002259412780404091,0.75,0.75,0.823074460029602
220,26,11941,0.001857757568359375,0.001857757568359375,0.002223968505859375,0.001678341068327427,0.75,0.75,1.1069010496139526
221,6,8252,-0.0018562376499176025,0.0018562376499176025,0.00196877121925354,0.0033336973283439875,0.5,0.5,0.5568104982376099
222,31,3402,-0.0018520355224609375,0.0018520355224609375,0.0018520355224609375,0.0005785117391496897,0.0,1.0,3.2013792991638184
223,23,5722,-0.0018520355224609375,0.0018520355224609375,0.0018520355224609375,0.00023952987976372242,0.0,1.0,7.731960296630859
224,16,8987,-0.0018453598022460938,0.0018453598022460938,0.0018453598022460938,0.0008938625105656683,0.0,1.0,2.0644783973693848
225,31,2085,-0.0018444061279296875,0.0018444061279296875,0.0018444061279296875,0.0008347543771378696,0.0,1.0,2.209519624710083
226,18,6431,0.0018405914306640625,0.0018405914306640625,0.0018405914306640625,0.00034616669290699065,1.0,1.0,5.317066669464111
227,16,5547,0.0018310546875,0.0018310546875,0.0018310546875,0.00019748197519220412,1.0,1.0,9.272008895874023
228,19,6569,-0.0018291473388671875,0.0018291473388671875,0.0018291473388671875,0.0009048213250935078,0.0,1.0,2.0215563774108887
229,20,88,0.001827239990234375,0.001827239990234375,0.001827239990234375,0.0005459283711388707,1.0,1.0,3.3470325469970703
230,26,9692,-0.0018253326416015625,0.0018253326416015625,0.0018253326416015625,0.00013469447731040418,0.0,1.0,13.551651954650879
231,21,10170,-0.00182342529296875,0.00182342529296875,0.00400543212890625,0.003621407551690936,0.25,0.75,0.5035128593444824
232,28,9883,0.0018215179443359375,0.0018215179443359375,0.0018215179443359375,0.0002060907572740689,1.0,1.0,8.83842658996582
233,7,11861,0.0018207132816314697,0.0018207132816314697,0.0018207132816314697,0.003054262138903141,1.0,1.0,0.596122145652771
234,31,10100,-0.0018157958984375,0.0018157958984375,0.0018157958984375,0.0002680079487618059,0.0,1.0,6.7751569747924805
235,26,10933,-0.0018157958984375,0.0018157958984375,0.0018157958984375,0.0006436107796616852,0.0,1.0,2.8212640285491943
236,31,4995,0.0018157958984375,0.0018157958984375,0.0018157958984375,0.00044316210551187396,1.0,1.0,4.097362518310547
237,25,8519,0.0018150806427001953,0.0018150806427001953,0.0018150806427001953,0.0014708334347233176,1.0,1.0,1.2340490818023682
238,20,8323,0.0018072128295898438,0.0018072128295898438,0.0018072128295898438,0.0008372907759621739,1.0,1.0,2.158405303955078
239,18,4534,-0.0018053054809570312,0.0018053054809570312,0.0019636154174804688,0.0012346701696515083,0.25,0.75,1.4621763229370117
240,24,8765,0.001804351806640625,0.001804351806640625,0.001804351806640625,0.0003689622972160578,1.0,1.0,4.890341758728027
241,23,5473,-0.001796722412109375,0.001796722412109375,0.001796722412109375,0.0004011240671388805,0.0,1.0,4.479218482971191
242,28,547,0.0017957687377929688,0.0017957687377929688,0.0017957687377929688,0.0008290776167996228,1.0,1.0,2.1659839153289795
243,29,5764,0.0017910003662109375,0.0017910003662109375,0.0017910003662109375,0.0003925757191609591,1.0,1.0,4.562178134918213
244,29,8873,0.0017910003662109375,0.0017910003662109375,0.0017910003662109375,0.0004287887713871896,1.0,1.0,4.176882743835449
245,22,6781,-0.0017871856689453125,0.0017871856689453125,0.0017871856689453125,0.00028179099899716675,0.0,1.0,6.342238426208496
