rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
149,28,7491,suppresses_refusal,-0.0419921875,0.0419921875,0.0419921875,0.0,0.0,1.0
150,29,4946,suppresses_refusal,-0.0419921875,0.0419921875,0.0419921875,0.0,0.0,1.0
151,31,11695,suppresses_refusal,-0.04150390625,0.04150390625,0.04150390625,0.0,0.0,1.0
152,22,2002,supports_refusal,0.04150390625,0.04150390625,0.04150390625,0.0,1.0,1.0
153,26,9401,suppresses_refusal,-0.041259765625,0.041259765625,0.041259765625,0.0,0.0,1.0
154,30,3331,supports_refusal,0.041259765625,0.041259765625,0.041259765625,0.0,1.0,1.0
155,30,11920,suppresses_refusal,-0.041259765625,0.041259765625,0.041259765625,0.0,0.0,1.0
156,31,11024,suppresses_refusal,-0.040771484375,0.040771484375,0.040771484375,0.0,0.0,1.0
157,20,1223,supports_refusal,0.040771484375,0.040771484375,0.040771484375,0.0,1.0,1.0
158,31,12358,supports_refusal,0.04052734375,0.04052734375,0.04052734375,0.0,1.0,1.0
159,31,11488,supports_refusal,0.040283203125,0.040283203125,0.040283203125,0.0,1.0,1.0
160,5,7012,suppresses_refusal,-0.040283203125,0.040283203125,0.040283203125,0.0,0.0,1.0
161,31,515,supports_refusal,0.0400390625,0.0400390625,0.0400390625,0.0,1.0,1.0
162,30,8392,suppresses_refusal,-0.039794921875,0.039794921875,0.039794921875,0.0,0.0,1.0
163,30,7675,suppresses_refusal,-0.03955078125,0.03955078125,0.03955078125,0.0,0.0,1.0
164,28,6305,suppresses_refusal,-0.03955078125,0.03955078125,0.03955078125,0.0,0.0,1.0
165,31,7281,supports_refusal,0.03955078125,0.03955078125,0.03955078125,0.0,1.0,1.0
166,12,1481,suppresses_refusal,-0.039306640625,0.039306640625,0.039306640625,0.0,0.0,1.0
167,30,1562,suppresses_refusal,-0.039306640625,0.039306640625,0.039306640625,0.0,0.0,1.0
168,24,5026,suppresses_refusal,-0.039306640625,0.039306640625,0.039306640625,0.0,0.0,1.0
169,31,12591,supports_refusal,0.039306640625,0.039306640625,0.039306640625,0.0,1.0,1.0
170,31,4661,supports_refusal,0.0390625,0.0390625,0.0390625,0.0,1.0,1.0
171,31,11256,suppresses_refusal,-0.0390625,0.0390625,0.0390625,0.0,0.0,1.0
172,31,12373,suppresses_refusal,-0.0390625,0.0390625,0.0390625,0.0,0.0,1.0
173,31,10463,supports_refusal,0.0390625,0.0390625,0.0390625,0.0,1.0,1.0
174,31,7450,supports_refusal,0.038818359375,0.038818359375,0.038818359375,0.0,1.0,1.0
175,27,2012,suppresses_refusal,-0.03857421875,0.03857421875,0.03857421875,0.0,0.0,1.0
176,31,2268,supports_refusal,0.038330078125,0.038330078125,0.038330078125,0.0,1.0,1.0
177,31,311,supports_refusal,0.0380859375,0.0380859375,0.0380859375,0.0,1.0,1.0
178,16,9699,suppresses_refusal,-0.0380859375,0.0380859375,0.0380859375,0.0,0.0,1.0
179,30,4063,suppresses_refusal,-0.0380859375,0.0380859375,0.0380859375,0.0,0.0,1.0
180,31,14201,supports_refusal,0.037841796875,0.037841796875,0.037841796875,0.0,1.0,1.0
181,31,13803,supports_refusal,0.037841796875,0.037841796875,0.037841796875,0.0,1.0,1.0
182,28,3797,suppresses_refusal,-0.037841796875,0.037841796875,0.037841796875,0.0,0.0,1.0
183,28,781,supports_refusal,0.037841796875,0.037841796875,0.037841796875,0.0,1.0,1.0
184,29,1295,supports_refusal,0.037841796875,0.037841796875,0.037841796875,0.0,1.0,1.0
185,17,13532,supports_refusal,0.037841796875,0.037841796875,0.037841796875,0.0,1.0,1.0
186,30,11272,supports_refusal,0.037841796875,0.037841796875,0.037841796875,0.0,1.0,1.0
187,31,12862,suppresses_refusal,-0.036865234375,0.036865234375,0.036865234375,0.0,0.0,1.0
188,31,5041,suppresses_refusal,-0.036376953125,0.036376953125,0.036376953125,0.0,0.0,1.0
