rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
164,19,10082,supports_cannot,0.0025899314787238,0.0025899314787238,0.0026462930254638,0.0038727899082005,0.9329897165298462,0.9329897165298462,0.6687508225440979
165,17,12927,supports_cannot,0.0025743388105183,0.0025743388105183,0.0026058198418468,0.0044740973971784,0.9793814420700072,0.9793814420700072,0.5753872990608215
168,29,8508,supports_cannot,0.0025577249471098,0.0025577249471098,0.0025577249471098,0.0021831183694303,1.0,1.0,1.1715924739837646
171,19,6804,supports_cannot,0.0025394479744136,0.0025394479744136,0.0025394479744136,0.0022397458087652,1.0,1.0,1.1338107585906982
172,20,4035,supports_cannot,0.0025336386170238,0.0025336386170238,0.0025420421734452,0.0026722659822553,0.9896907210350036,0.9896907210350036,0.9481236934661864
173,18,6431,supports_cannot,0.0025189095176756,0.0025189095176756,0.0025189095176756,0.0023393761366605,1.0,1.0,1.0767440795898438
174,31,7450,supports_cannot,0.0025135118048638,0.0025135118048638,0.0025135118048638,0.0027633744757622,1.0,1.0,0.9095805883407592
176,16,12860,supports_cannot,0.002489419421181,0.002489419421181,0.0025318430270999,0.0024660029448568,0.984536111354828,0.984536111354828,1.009495735168457
178,24,8765,supports_cannot,0.0024584224447607,0.0024584224447607,0.0024584224447607,0.0029247649945318,1.0,1.0,0.8405538201332092
179,29,911,supports_cannot,0.002455927664414,0.002455927664414,0.002455927664414,0.0024525264743715,1.0,1.0,1.0013867616653442
181,22,10842,supports_cannot,0.0024308813735842,0.0024308813735842,0.0024308813735842,0.0032710118684917,1.0,1.0,0.7431588172912598
183,17,4802,supports_cannot,0.0024129613302648,0.0024129613302648,0.0024296359624713,0.001753483316861,0.9896907210350036,0.9896907210350036,1.37609601020813
